,Наименование вакансии,Зарплата MIN,Зарплата MAX,Ссылка на вакансию,Работодатель,Расположение,Сайт
160,Управляющий / Директор / Менеджер магазина DESEO в ТЦ Лента (м. Говорово),,,https://www.superjob.ru/vakansii/upravlyayuschij-28755091.html,"«Модный Континент» (бренды INCITY, DESEO и Slip&sleep)","Москва, Говорово",SuperJobs
161,Менеджер по работе с клиентами,40000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-32417843.html,ЗАМОСКВОРЕЧЬЕ,"Москва, Рижская, Комсомольская",SuperJobs
162,Менеджер по продажам / Account Manager,75000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32561781.html,TNT Express Worldwide,"Москва, Строгино",SuperJobs
163,Менеджер по экспортным продажам,80000.0,,https://www.superjob.ru/vakansii/menedzher-po-eksportnym-prodazham-27618992.html,БЕСТ-фарм,"Москва, Петровско-Разумовская, Алтуфьево",SuperJobs
164,Менеджер по закупкам (с опытом работы на фармацевтическом рынке),80000.0,,https://www.superjob.ru/vakansii/menedzher-po-zakupkam-28099325.html,БЕСТ-фарм,Москва,SuperJobs
165,Менеджер по оптовым продажам (фармацевтика),80000.0,,https://www.superjob.ru/vakansii/menedzher-po-optovym-prodazham-30450549.html,БЕСТ-фарм,"Москва, Петровско-Разумовская, Алтуфьево",SuperJobs
166,Менеджер в отдел аренды квартир и комнат,40000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-v-otdel-arendy-kvartir-i-komnat-28982821.html,,,SuperJobs
167,Менеджер по коммерческой недвижимости,100000.0,,https://www.superjob.ru/vakansii/menedzher-po-kommercheskoj-nedvizhimosti-29036970.html,ЗАМОСКВОРЕЧЬЕ,"Москва, Маяковская, Белорусская",SuperJobs
168,Менеджер по продажам бизнес-клиентам,57000.0,100000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-biznes-klientam-30568284.html,Эр-Телеком Холдинг,"Москва, Аэропорт, Динамо",SuperJobs
169,Менеджер по продажам оборудования,60000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-oborudovaniya-11820504.html,"НПО ""ЛАТЭМИ""","Москва, Бутырская",SuperJobs
170,"Агент по недвижимости, менеджер по продажам",45000.0,150000.0,https://www.superjob.ru/vakansii/agent-po-nedvizhimosti-31230804.html,ЗАМОСКВОРЕЧЬЕ,"Москва, Автозаводская, Павелецкая",SuperJobs
171,Менеджер по продажам,35000.0,180000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32523782.html,Торговый дом Идеал,"Москва, Волоколамская, Митино",SuperJobs
172,Менеджер по работе с недвижимостью / Агент (м. Таганская),55000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-nedvizhimostyu-25165113.html,Простор-Риэлти,"Москва, Таганская",SuperJobs
173,Менеджер по работе с клиентами в недвижимости (м. Первомайская),55000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-v-nedvizhimosti-25308423.html,Простор-Риэлти,"Москва, Первомайская",SuperJobs
174,Менеджер по продажам городской недвижимости (м. Баррикадная),60000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-gorodskoj-nedvizhimosti-26350709.html,Простор-Риэлти,"Москва, Красносельская, Маяковская",SuperJobs
175,Менеджер по продажам,55000.0,,https://www.superjob.ru/vakansii/menedzher-po-prodazham-32109993.html,Гранит,Москва,SuperJobs
176,Менеджер по продажам / Агент / Риелтор (новый офис) м. Маяковская,50000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-26310426.html,Простор-Риэлти,"Москва, Цветной бульвар",SuperJobs
177,Менеджер по продажам,70000.0,150000.0,https://www.superjob.ru/vakansii/menedzher-po-prodazham-26310452.html,Простор-Риэлти,"Москва, Цветной бульвар",SuperJobs
178,Менеджер (с обучением),75000.0,,https://www.superjob.ru/vakansii/menedzher-30127071.html,Простор-Риэлти,Москва,SuperJobs
179,"Менеджер по работе с клиентами в недвижимости (м. Маяковская, м. Цветной бульвар, м. Первомайская)",82000.0,,https://www.superjob.ru/vakansii/menedzher-po-rabote-s-klientami-v-nedvizhimosti-30127114.html,Простор-Риэлти,Москва,SuperJobs
180,Менеджер по продажам,60000.0,150000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33687103?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО АДМ дентал,Москва,HH.RU
181,Менеджер по продажам в клуб (м. Белорусская),80000.0,150000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33279665?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,Dr.Loder,Москва,HH.RU
182,Менеджер по работе с клиентами,100000.0,,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33681667?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО Гермес,Москва,HH.RU
183,Менеджер по работе с клиентами,60000.0,150000.0,https://hh.ru/search/vacancy?L_is_autosearch=false&area=1&clusters=true&enable_snippets=true&https://hh.ru/vacancy/33417165?query=%D0%9C%D0%B5%D0%BD%D0%B5%D0%B4%D0%B6%D0%B5%D1%80,ООО АБН Консалт,"Москва, Менделеевская",HH.RU
